foodId,name,serving,calories,protein,totalFat,carbohydrates,saturatedFat,fiber
239,Noodles,1 cup,200,7,2,37,2,0.1
240,Oatmeal,1 cup,150,5,3,26,2,4.6
241,"Pancakes 4"" diam.",4,250,7,9,28,0,0.1
242,"Wheat, pancakes 4"" diam.",4,250,7,9,28,0,0.1
243,"Pizza 14"" diam.",1 section,180,8,6,23,5,t
244,Popcorn salted,2 cups,152,3,7,20,2,0.5
245,Puffed rice,1 cup,55,t,t,12,0,t
246,Puffed wheat presweetened,1 cup,105,1,t,26,0,0.6
247,Rice,1 cup,748,15,3,154,0,1.2
248,Converted,1 cup,677,14,t,142,0,0.4
249,White,1 cup,692,14,t,150,0,0.3
250,Rice flakes,1 cup,115,2,t,26,0,0.1
251,Rice polish,1/2 cup,132,6,6,28,0,1.2
252,Rolls,1 large,411,3,12,23,11,0.1
253,of refined flour,1,115,3,2,20,2,t
254,whole-wheat,1,102,4,1,20,0,0.1
255,Spaghetti with meat sauce,1 cup,285,13,10,35,6,0.5
256,with tomatoes and cheese,1 cup,210,6,5,36,3,0.5
257,Spanish rice,1 cup,217,4,4,40,0,1.2
258,Shredded wheat biscuit,1,100,3,1,23,0,0.7
259,Waffles,1,240,8,9,30,1,0.1
260,Wheat germ,1 cup,245,17,7,34,3,2.5
261,Wheat-germ cereal toasted,1 cup,260,20,7,36,3,2.5
262,Wheat meal cereal unrefined,3/4 cup,103,4,1,25,0,0.7
263,"Wheat, cooked",3/4 cup,275,12,1,35,0,4.4
264,Bean soups,1 cup,190,8,5,30,4,0.6
265,Beef soup,1 cup,100,6,4,11,4,0.5
266,Bouillon,1 cup,24,5,0,0,0,0
267,chicken soup,1 cup,75,4,2,10,2,0
268,Clam chowder,1 cup,85,5,2,12,8,0.5
269,Cream soups,1 cup,200,7,12,18,11,1.2
270,Noodle,1 cup,115,6,4,13,3,0.2
271,Split-pea soup,1 cup,147,8,3,25,3,0.5
272,Tomato soup,1 cup,175,6,7,22,6,0.5
273,Vegetable,1 cup,80,4,2,14,2,0
274,Apple betty,1 serving,150,1,4,29,0,0.5
275,Bread pudding,3/4 cup,374,11,12,56,11,0.2
276,Cakes,1 slice,110,3,t,23,0,0
277,Chocolate fudge,1 slice,420,5,14,70,12,0.3
278,Cupcake,1,160,3,3,31,2,t
279,Fruit cake,1 slice,105,2,4,17,3,0.2
280,Gingerbread,1 slice,180,2,7,28,6,t
281,"Plain, with no icing",1 slice,180,4,5,31,4,t
282,Sponge cake,1 slice,115,3,2,22,2,0
283,Candy,5,104,t,3,19,3,0
284,Chocolate creams,2,130,t,4,24,4,0
285,Fudge,2 pieces,370,t,12,80,11,0.1
286,Hard candies,1 oz.,90,t,0,28,0,0
287,Marshmallows,5,98,1,0,23,0,0
288,Milk chocolate,2-oz. bar,290,2,6,44,6,0.2
289,Chocolate syrup,2 T.,80,t,t,22,t,0
290,Doughnuts,1,135,2,7,17,4,t
291,"Gelatin, made with water",1 cup,155,4,t,36,t,0
292,Honey,2 T.,120,t,0,30,0,0
293,Ice cream,2 cups,250,0,0,0,12,10
294,Ices,1 cup,117,0,0,48,0,0
295,preserves,1 T.,55,0,0,14,0,t
296,Jellies,1 T.,50,0,0,13,0,0
297,Molasses,1 T.,45,0,0,11,0,8
298,Cane Syrup,1 T.,50,0,0,13,0,0
299,"9"" diam. pie",1 slice,330,3,13,53,11,0.1
300,Cherry Pie,1 slice,340,3,13,55,11,0.1
301,Custard,1 slice,265,7,11,34,10,0
302,Lemon meringue,1 slice,300,4,12,45,10,0.1
303,Mince,1 slice,340,3,9,62,8,0.7
304,Pumpkin Pie,1 slice,265,5,12,34,11,8
305,Puddings Sugar,1 cup,770,0,0,199,0,0
306,3 teaspoons sugar,1 T.,50,0,0,12,0,0
307,"Brown, firm-packed, dark sugar",1 cup,815,0,t,210,0,0
308,Syrup,2 T.,100,0,0,25,0,0
309,table blends sugar,2 T.,110,0,0,29,0,0
310,Tapioca cream pudding,1 cup,335,10,10,42,9,0
311,Almonds,1/2 cup,425,13,38,13,28,1.8
312,roasted and salted,1/2 cup,439,13,40,13,31,1.8
313,Brazil nuts,1/2 cup,457,10,47,7,31,2
314,Cashews,1/2 cup,392,12,32,20,28,0.9
315,coconut sweetened,1/2 cup,274,1,20,26,19,2
316,Peanut butter,1/3 cup,300,12,25,9,17,0.9
317,"Peanut butter, natural",1/3 cup,284,13,24,8,10,0.9
318,Peanuts,1/3 cup,290,13,25,9,16,1.2
319,Pecans,1/2 cup,343,5,35,7,25,1.1
320,Sesame seeds,1/2 cup,280,9,24,10,13,3.1
321,Sunflower seeds,1/2 cup,280,12,26,10,7,1.9
322,Walnuts,1/2 cup,325,7,32,8,7,1
323,Beer,2 cups,228,t,0,8,0,0
324,Gin,1 oz.,70,0,0,t,0,0
325,Wines,1/2 cup,164,t,0,9,0,0
326,Table (12.2% alcohol),1/2 cup,100,t,0,5,0,0
327,Carbonated drinks Artificially sweetened,12 oz.,0,0,0,0,0,0
328,Club soda,12 oz.,0,0,0,0,0,0
329,Cola drinks,12 oz.,137,0,0,38,0,0
330,Fruit-flavored soda,12 oz.,161,0,0,42,0,0
331,Ginger ale,12 oz.,105,0,0,28,0,0
332,Root beer,12 oz.,140,0,0,35,0,0
333,Coffee,1 cup,3,t,0,1,0,0
334,Tea,1 cup,4,0,t,1,0,0
